"Gender","Age","Attitude","Points","SeekingMeaning","RelatingIdeas","UseOfEvidence","LackOfPurpose","UnrelatedMemorising","SyllabusBoundness","OrganizedStudying","TimeManagement"
"F",20,36,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,29,16,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,21,16,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,31,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,40,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,31,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,23,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,28,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,37,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,26,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,24,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,30,27,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,28,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",24,29,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
